"","stream","monthN","rep","ArrheniusC","Temp","lnK"
"1","ami",1,1,1.30382514860336,5.960963504,-3.82900317992483
"2","ami",2,1,1.37398418860336,5.490623145,-4.49696343470454
"3","ami",3,1,0.624070888603363,10.601566,-4.47597034851821
"4","ami",4,1,0.190369448603363,13.64389583,-4.2535010100265
"5","ami",5,1,-0.347659341396636,17.50994949,-4.15324823696779
"6","ami",6,1,-0.76267005139664,20.56400144,-3.80318384726907
"7","ami",7,1,-0.785995321396641,20.73755747,-4.22507998151124
"8","ami",8,1,-0.840728611396642,21.14561728,-4.14672857754531
"9","ami",9,1,-0.653523901396639,19.75459524,-4.0987814104925
"10","ami",10,1,0.165585348603365,13.81972321,-4.21587531430288
"11","ami",1,2,1.30382514860336,5.960963504,-4.75752401445343
"12","ami",2,2,1.37398418860336,5.490623145,-4.60744767750414
"13","ami",3,2,0.624070888603363,10.601566,-4.34040994800509
"14","ami",4,2,0.190369448603363,13.64389583,-4.33007689579317
"15","ami",5,2,-0.347659341396636,17.50994949,-4.14367212676525
"16","ami",6,2,-0.76267005139664,20.56400144,-4.03268950677891
"17","ami",7,2,-0.785995321396641,20.73755747,-4.21774400540932
"18","ami",8,2,-0.840728611396642,21.14561728,-4.15459169654591
"19","ami",9,2,-0.653523901396639,19.75459524,-4.58696353747113
"20","ami",10,2,0.165585348603365,13.81972321,-4.32065936163232
"21","ami",12,2,1.04931664860336,7.680577023,-4.68395455237188
"22","ami",1,3,1.30382514860336,5.960963504,-4.91326328677444
"23","ami",2,3,1.37398418860336,5.490623145,-4.50028076127618
"24","ami",3,3,0.624070888603363,10.601566,-4.2608794507818
"25","ami",4,3,0.190369448603363,13.64389583,-4.10310597152268
"26","ami",5,3,-0.347659341396636,17.50994949,-4.2285602803725
"27","ami",6,3,-0.76267005139664,20.56400144,-4.09341455481309
"28","ami",7,3,-0.785995321396641,20.73755747,-4.28205120861887
"29","ami",8,3,-0.840728611396642,21.14561728,-4.06484620840947
"30","ami",9,3,-0.653523901396639,19.75459524,-4.28339941687334
"31","ami",10,3,0.165585348603365,13.81972321,-4.46029222236096
"32","ami",12,3,1.04931664860336,7.680577023,-4.38741086365499
"33","ami",1,4,1.30382514860336,5.960963504,-4.72032831971583
"34","ami",2,4,1.37398418860336,5.490623145,-4.61040054047582
"35","ami",3,4,0.624070888603363,10.601566,-4.35553232903445
"36","ami",4,4,0.190369448603363,13.64389583,-4.1642497783403
"37","ami",5,4,-0.347659341396636,17.50994949,-4.12739799778788
"38","ami",6,4,-0.76267005139664,20.56400144,-4.23238131159885
"39","ami",7,4,-0.785995321396641,20.73755747,-4.16888991308887
"40","ami",8,4,-0.840728611396642,21.14561728,-4.08551955738011
"41","ami",9,4,-0.653523901396639,19.75459524,-4.46226856885837
"42","ami",10,4,0.165585348603365,13.81972321,-4.38795682353737
"43","ami",12,4,1.04931664860336,7.680577023,-4.94019966388638
"44","ami",1,5,1.30382514860336,5.960963504,-4.60278094250482
"45","ami",2,5,1.37398418860336,5.490623145,-4.55675866492348
"46","ami",3,5,0.624070888603363,10.601566,-4.39254326104209
"47","ami",4,5,0.190369448603363,13.64389583,-4.4531161024837
"48","ami",5,5,-0.347659341396636,17.50994949,-4.3413102713324
"49","ami",6,5,-0.76267005139664,20.56400144,-4.02217704725254
"50","ami",7,5,-0.785995321396641,20.73755747,-4.06657417377356
"51","ami",8,5,-0.840728611396642,21.14561728,-4.18293488691202
"52","ami",9,5,-0.653523901396639,19.75459524,-4.85366410991938
"53","ami",10,5,0.165585348603365,13.81972321,-4.38199055532475
"54","ami",12,5,1.04931664860336,7.680577023,-4.95879635360062
"55","ami",4,6,0.190369448603363,13.64389583,-4.2096185207468
"56","choco",2,1,1.20488338860336,6.626965875,-4.83401596414007
"57","choco",3,1,0.37089076860336,12.36968373,-4.59087524722066
"58","choco",4,1,-0.0014990113966391,15.01072917,-4.64171156376829
"59","choco",5,1,-0.54766254139664,18.97379874,-4.20083658445879
"60","choco",6,1,-0.915173401396636,21.7024569,-3.94679262341957
"61","choco",7,1,-1.02787985139664,22.54951149,-3.80710809903938
"62","choco",8,1,-1.05349368139664,22.7426935,-3.99168713060641
"63","choco",9,1,-0.863968871396636,21.31922619,-4.12861475425108
"64","choco",10,1,0.0868693686033595,14.37959524,-4.46135862829782
"65","choco",11,1,0.886493338603358,8.791868056,-4.66263342275242
"66","choco",2,2,1.20488338860336,6.626965875,-4.64926523945991
"67","choco",3,2,0.37089076860336,12.36968373,-4.45236026171486
"68","choco",5,2,-0.54766254139664,18.97379874,-4.26590022379623
"69","choco",6,2,-0.915173401396636,21.7024569,-4.08795227648311
"70","choco",7,2,-1.02787985139664,22.54951149,-3.73292589156737
"71","choco",8,2,-1.05349368139664,22.7426935,-3.93830112051358
"72","choco",9,2,-0.863968871396636,21.31922619,-4.18645425904028
"73","choco",10,2,0.0868693686033595,14.37959524,-4.40804442091914
"74","choco",11,2,0.886493338603358,8.791868056,-4.64684379302737
"75","choco",2,3,1.20488338860336,6.626965875,-4.74266358844678
"76","choco",3,3,0.37089076860336,12.36968373,-4.36984924101263
"77","choco",4,3,-0.0014990113966391,15.01072917,-4.68503331811961
"78","choco",5,3,-0.54766254139664,18.97379874,-4.25375691037972
"79","choco",7,3,-1.02787985139664,22.54951149,-3.8844057955957
"80","choco",8,3,-1.05349368139664,22.7426935,-3.93214806269928
"81","choco",9,3,-0.863968871396636,21.31922619,-4.09843433394906
"82","choco",10,3,0.0868693686033595,14.37959524,-4.49996080175004
"83","choco",11,3,0.886493338603358,8.791868056,-4.67687995919802
"84","choco",2,4,1.20488338860336,6.626965875,-4.49064248764174
"85","choco",3,4,0.37089076860336,12.36968373,-4.29299891187644
"86","choco",4,4,-0.0014990113966391,15.01072917,-4.4715855447813
"87","choco",5,4,-0.54766254139664,18.97379874,-4.31258072449113
"88","choco",6,4,-0.915173401396636,21.7024569,-4.10544089948984
"89","choco",7,4,-1.02787985139664,22.54951149,-3.93264090096518
"90","choco",8,4,-1.05349368139664,22.7426935,-4.06036896528784
"91","choco",9,4,-0.863968871396636,21.31922619,-4.51393064363438
"92","choco",10,4,0.0868693686033595,14.37959524,-4.45374435805728
"93","choco",11,4,0.886493338603358,8.791868056,-4.70945361524512
"94","choco",2,5,1.20488338860336,6.626965875,-4.60544752444285
"95","choco",3,5,0.37089076860336,12.36968373,-4.47838952838711
"96","choco",4,5,-0.0014990113966391,15.01072917,-4.29923830889248
"97","choco",5,5,-0.54766254139664,18.97379874,-4.22172494543759
"98","choco",6,5,-0.915173401396636,21.7024569,-4.026520581622
"99","choco",7,5,-1.02787985139664,22.54951149,-3.94797282578844
"100","choco",8,5,-1.05349368139664,22.7426935,-4.032282573912
"101","choco",9,5,-0.863968871396636,21.31922619,-4.27682337137956
"102","choco",10,5,0.0868693686033595,14.37959524,-4.54977161977198
"103","choco",11,5,0.886493338603358,8.791868056,-4.68519526048376
"104","choco",9,6,-0.863968871396636,21.31922619,-4.11326625365624
"105","coon",1,1,1.21274157860336,6.573954155,-4.68525484454155
"106","coon",2,1,1.31703835860336,5.872261905,-4.57085021186329
"107","coon",3,1,0.30895531860336,12.80557808,-4.47049533486149
"108","coon",4,1,-0.278009451396642,17.00361111,-4.27558432037127
"109","coon",5,1,-0.941547701396637,21.9002399,-4.16161769901509
"110","coon",6,1,-1.34847918139664,24.98583333,-3.79725250289647
"111","coon",7,1,-1.24326588139664,24.181875,-3.68120668523413
"112","coon",8,1,-1.26264505139664,24.32962963,-4.0034034766613
"113","coon",9,1,-0.985832751396636,22.23293452,-3.99321283329254
"114","coon",10,1,-0.120648161396637,15.86610119,-4.3908687310458
"115","coon",11,1,0.734652088603362,9.836159722,-4.34766068684679
"116","coon",12,1,0.982965058603362,8.132376302,-4.67519155047841
"117","coon",1,2,1.21274157860336,6.573954155,-4.55846075647496
"118","coon",2,2,1.31703835860336,5.872261905,-4.58146039767473
"119","coon",3,2,0.30895531860336,12.80557808,-4.48155918816482
"120","coon",4,2,-0.278009451396642,17.00361111,-4.35535081919931
"121","coon",5,2,-0.941547701396637,21.9002399,-4.27250769724922
"122","coon",6,2,-1.34847918139664,24.98583333,-3.72299428370415
"123","coon",7,2,-1.24326588139664,24.181875,-3.85224467102367
"124","coon",8,2,-1.26264505139664,24.32962963,-3.71723744801449
"125","coon",9,2,-0.985832751396636,22.23293452,-4.06315105799924
"126","coon",10,2,-0.120648161396637,15.86610119,-3.73203942958293
"127","coon",11,2,0.734652088603362,9.836159722,-4.5160248791139
"128","coon",12,2,0.982965058603362,8.132376302,-4.81911443097172
"129","coon",1,3,1.21274157860336,6.573954155,-4.96358965071874
"130","coon",2,3,1.31703835860336,5.872261905,-4.5415992265374
"131","coon",3,3,0.30895531860336,12.80557808,-4.46596370219932
"132","coon",4,3,-0.278009451396642,17.00361111,-4.21687029420405
"133","coon",5,3,-0.941547701396637,21.9002399,-4.34025878361699
"134","coon",6,3,-1.34847918139664,24.98583333,-4.03239879937927
"135","coon",7,3,-1.24326588139664,24.181875,-3.64778925876274
"136","coon",8,3,-1.26264505139664,24.32962963,-3.80671146096939
"137","coon",9,3,-0.985832751396636,22.23293452,-4.25312216978936
"138","coon",10,3,-0.120648161396637,15.86610119,-4.37893669346302
"139","coon",11,3,0.734652088603362,9.836159722,-4.43079495108198
"140","coon",12,3,0.982965058603362,8.132376302,-4.75466326264174
"141","coon",1,4,1.21274157860336,6.573954155,-4.76227684709304
"142","coon",2,4,1.31703835860336,5.872261905,-4.54794644650413
"143","coon",3,4,0.30895531860336,12.80557808,-4.48202581467714
"144","coon",4,4,-0.278009451396642,17.00361111,-4.29947893173781
"145","coon",5,4,-0.941547701396637,21.9002399,-4.22354534548618
"146","coon",6,4,-1.34847918139664,24.98583333,-3.91481489913894
"147","coon",7,4,-1.24326588139664,24.181875,-3.5351572546427
"148","coon",8,4,-1.26264505139664,24.32962963,-3.8256720673136
"149","coon",9,4,-0.985832751396636,22.23293452,-4.13904563314041
